IPFROM,IPTO,REGI,ASSIGX,CTRY,CNTRY,PAIS
3277712896,3277713407,RIPE,1200873600,NL,NLD,NETHERLANDS
3277713408,3277713919,RIPE,1200960000,RU,RUS,RUSSIAN
3277713920,3277714431,RIPE,1200960000,DE,DEU,GERMANY
3277714432,3277714943,RIPE,1200960000,DE,DEU,GERMANY
3277714944,3277715455,RIPE,1201046400,RU,RUS,RUSSIAN
3277715456,3277715967,RIPE,1201046400,RU,RUS,RUSSIAN
3277715968,3277716479,RIPE,1201046400,PL,POL,POLAND
3277716480,3277716991,RIPE,1201219200,SE,SWE,SWEDEN
3277716992,3277717503,RIPE,1201219200,IT,ITA,ITALY
3277717504,3277725695,RIPE,840067200,YE,YEM,YEMEN
3277725696,3277733887,RIPE,868492800,CH,CHE,SWITZERLAND
3277733888,3277742079,RIPE,856396800,DE,DEU,GERMANY
3277742080,3277750271,RIPE,873244800,FI,FIN,FINLAND
3277750272,3277766655,RIPE,848361600,IT,ITA,ITALY
3277766656,3277774847,RIPE,861667200,PL,POL,POLAND
3277774848,3277783039,RIPE,881193600,RU,RUS,RUSSIAN
3277783040,3277815807,RIPE,857347200,BE,BEL,BELGIUM
3277815808,3277816063,RIPE,1147305600,RO,ROM,ROMANIA
3277816064,3277816319,RIPE,1147305600,PL,POL,POLAND
3277816320,3277816575,RIPE,1147392000,GB,GBR,UNITED
3277816576,3277816831,RIPE,1147392000,GB,GBR,UNITED
3277816832,3277817087,RIPE,1147392000,CH,CHE,SWITZERLAND
3277817088,3277817343,RIPE,1147651200,GB,GBR,UNITED
3277817344,3277817599,RIPE,1147737600,FR,FRA,FRANCE
3277817600,3277817855,RIPE,1147737600,FR,FRA,FRANCE
3277817856,3277818111,RIPE,1147737600,BE,BEL,BELGIUM
3277818112,3277818367,RIPE,1147737600,DE,DEU,GERMANY
3277818368,3277818623,RIPE,1147910400,CY,CYP,CYPRUS
3277818624,3277818879,RIPE,1147910400,UA,UKR,UKRAINE
3277818880,3277819135,RIPE,1147910400,SE,SWE,SWEDEN
3277819136,3277819391,RIPE,1147910400,CH,CHE,SWITZERLAND
3277819392,3277819647,RIPE,1147910400,IT,ITA,ITALY
3277819648,3277819903,RIPE,1147910400,SE,SWE,SWEDEN
3277819904,3277820159,RIPE,1147996800,PL,POL,POLAND
3277820160,3277820415,RIPE,1147996800,RO,ROM,ROMANIA
3277820416,3277820671,RIPE,1147996800,DE,DEU,GERMANY
3277820672,3277820927,RIPE,1147996800,UA,UKR,UKRAINE
3277820928,3277821183,RIPE,1148256000,CH,CHE,SWITZERLAND
3277821184,3277821439,RIPE,1148256000,TR,TUR,TURKEY
3277821440,3277821695,RIPE,1148256000,NL,NLD,NETHERLANDS
3277821696,3277821951,RIPE,1148256000,UA,UKR,UKRAINE
3277821952,3277822207,RIPE,1148256000,RO,ROM,ROMANIA
